TORNADO,TORNADO
TSTM WIND,TROPICAL STORM
HAIL,HAIL
FREEZING RAIN,SLEET
SNOW,HEAVY SNOW
ICE STORM,ICE STORM
SNOW/ICE,HEAVY SNOW
WINTER STORM,WINTER STORM
HURRICANE OPAL/HIGH WIND,HURRICANE (TYPHOON)
THUNDERSTORM WIND,THUNDERSTORM WIND
RECORD COLD,FROST/FREEZE
HURRICANE ERIN,HURRICANE (TYPHOON)
HURRICANE OPAL,HURRICANE (TYPHOON)
HEAVY RAIN,HEAVY RAIN
LIGHTNING,LIGHTNING
DENSE FOG,DENSE FOG
RIP CURRENT,RIP CURRENT
THUNDERSTORM WINS,HIGH WIND
FLASH FLOOD,FLASH FLOOD
HIGH WIND,HIGH WIND
FUNNEL CLOUD,FUNNEL CLOUD
HEAT,HEAT
WIND,HIGH WIND
LIGHTING,LIGHTNING
FUNNEL,FUNNEL CLOUD
WALL CLOUD,ERROR
FLOOD,FLOOD
COLD,COLD/WIND CHILL
WALL CLOUD/FUNNEL CLOUD,FUNNEL CLOUD
THUNDERSTORM,THUNDERSTORM WIND
WATERSPOUT,WATERSPOUT
EXTREME COLD,COLD/WIND CHILL
BLIZZARD,BLIZZARD
WIND CHILL,COLD/WIND CHILL
BREAKUP FLOOD,FLOOD
RIVER FLOOD,FLOOD
HEAVY SNOW,HEAVY SNOW
FREEZE,COLD/WIND CHILL
COASTAL FLOOD,COASTAL FLOOD
HIGH TIDES,STORM SURGE/TIDE
RECORD COLD AND HIGH WIND,COLD/WIND CHILL
RECORD HIGH TEMPERATURE,EXCESSIVE HEAT
RECORD HIGH,EXCESSIVE HEAT
RECORD LOW,EXTREME COLD/WIND CHILL
LOW TEMPERATURE RECORD,EXTREME COLD/WIND CHILL
AVALANCHE,AVALANCHE
MARINE MISHAP,ERROR
WIND CHILL/HIGH WIND,EXTREME COLD/WIND CHILL
HIGH TEMPERATURE RECORD,EXCESSIVE HEAT
RECORD HIGH TEMPERATURES,EXCESSIVE HEAT
HIGH SEAS,STORM SURGE/TIDE
SEVERE TURBULENCE,TROPICAL DEPRESSION
RECORD RAINFALL,HEAVY RAIN
RECORD SNOWFALL,HEAVY SNOW
RECORD WARMTH,EXCESSIVE HEAT
EXTREME HEAT,EXCESSIVE HEAT
WIND DAMAGE,STRONG WIND
DUST STORM,DUST STORM
APACHE COUNTY,ERROR
SLEET,SLEET
DUST DEVIL,DUST DEVIL
EXCESSIVE HEAT,EXCESSIVE HEAT
GUSTY WINDS,STRONG WIND
STRONG WIND,STRONG WIND
SNOW AND WIND,COLD/WIND CHILL
HEAVY SURF COASTAL FLOOD,COASTAL FLOOD
HEAVY SURF,HIGH SURF
HEAVY PRECIPATATION,HEAVY RAIN
URBAN FLOOD,FLOOD
HIGH SURF,HIGH SURF
BLOWING DUST,DUST STORM
URBAN/SMALL,ERROR
WILD FIRES,WILDFIRE
HIGH,ERROR
URBAN/SMALL FLOOD,ERROR
WATER SPOUT,WATERSPOUT
LOCAL FLOOD,FLOOD
MUDSLIDES,HEAVY RAIN
RAINSTORM,HEAVY RAIN
SEVERE THUNDERSTORM,THUNDERSTORM WIND
SEVERE THUNDERSTORMS,THUNDERSTORM WIND
SEVERE THUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERSTORMS WINDS,THUNDERSTORM WIND
DRY MICROBURST,THUNDERSTORM WIND
WINDS,STRONG WIND
DRY MICROBURST 61,THUNDERSTORM WIND
THUNDERSTORMS,THUNDERSTORM WIND
URBAN/SMALL STREAM FLOOD,FLOOD
MICROBURST,THUNDERSTORM WIND
STREAM FLOOD,FLOOD
URBAN AND SMALL,ERROR
ICE,SLEET
DOWNBURST,THUNDERSTORM WIND
GUSTNADO AND,STRONG WIND
WET MICROBURST,THUNDERSTORM WIND
DOWNBURST WINDS,THUNDERSTORM WIND
DRY MICROBURST WINDS,THUNDERSTORM WIND
DRY MIRCOBURST WINDS,THUNDERSTORM WIND
DRY MICROBURST 53,THUNDERSTORM WIND
SMALL STREAM URBAN FLOOD,FLOOD
MICROBURST WINDS,THUNDERSTORM WIND
DRY MICROBURST 50,THUNDERSTORM WIND
BLOWING SNOW,HEAVY SNOW
FREEZING DRIZZLE,FROST/FREEZE
DRY MICROBURST 58,THUNDERSTORM WIND
LIGHT SNOW AND SLEET,SLEET
DRY MICROBURST 84,THUNDERSTORM WIND
GLAZE,SLEET
RECORD HEAT,EXCESSIVE HEAT
FIRST SNOW,HEAVY SNOW
FREEZING RAIN AND SLEET,SLEET
UNSEASONABLY DRY,DROUGHT
UNSEASONABLY WET,ERROR
WINTRY MIX,SLEET
WINTER WEATHER,WINTER WEATHER
UNSEASONABLY COLD,FROST/FREEZE
EXTREME/RECORD COLD,FROST/FREEZE
UNSEASONABLY WARM,EXCESSIVE HEAT
DROUGHT,DROUGHT
NORMAL PRECIPITATION,ERROR
DRY,DROUGHT
RAIN/SNOW,WINTER WEATHER
SNOW/RAIN/SLEET,SLEET
STORM SURGE,STORM SURGE/TIDE
TROPICAL STORM,TROPICAL STORM
WAYTERSPOUT,WATERSPOUT
MINOR FLOOD,FLOOD
URBAN/SMALL STREAM  FLOOD,FLOOD
URBAN AND SMALL STREAM FLOOD,FLOOD
URBAN AND SMALL STREAM,FLOOD
WILDFIRE,WILDFIRE
DAMAGING FREEZE,FROST/FREEZE
SMALL HAIL,HAIL
HURRICANE,HURRICANE (TYPHOON)
WILD/FOREST FIRE,WILDFIRE
SMALL STREAM FLOOD,FLOOD
MUD SLIDE,HEAVY RAIN
LIGNTNING,LIGHTNING
FROST,FROST/FREEZE
FREEZING RAIN/SNOW,WINTER STORM
THUNDERSNOW,WINTER STORM
EXTREME WIND CHILLS,COLD/WIND CHILL
COOL AND WET,WINTER WEATHER
SMALL STREAM AND URBAN FLOOD,FLOOD
SMALL STREAM/URBAN FLOOD,FLOOD
SNOW/SLEET,SLEET
SEVERE COLD,COLD/WIND CHILL
GLAZE ICE,SLEET
COLD WAVE,COLD/WIND CHILL
EARLY SNOW,WINTER WEATHER
HIGH  WINDS,STRONG WIND
RURAL FLOOD,FLOOD
SMALL STREAM AND,FLOOD
MUD SLIDES,HEAVY RAIN
EXTREME WIND CHILL,COLD/WIND CHILL
COLD AND WET CONDITIONS,WINTER WEATHER
EXCESSIVE WETNESS,HEAVY RAIN
GRADIENT WINDS,STRONG WIND
ROTATING WALL CLOUD,ERROR
LARGE WALL CLOUD,ERROR
COLD AIR FUNNEL,FUNNEL CLOUD
GUSTNADO,STRONG WIND
COLD AIR FUNNELS,FUNNEL CLOUD
BLOWING SNOW- EXTREME WIND CHI,COLD/WIND CHILL
SNOW AND HEAVY SNOW,HEAVY SNOW
GROUND BLIZZARD,BLIZZARD
MAJOR FLOOD,FLOOD
SNOW/HEAVY SNOW,HEAVY SNOW
FREEZING RAIN/SLEET,SLEET
ICE JAM FLOOD,FLOOD
SNOW- HIGH WIND,STRONG WIND
STREET FLOOD,FLOOD
COLD AIR TORNADO,TORNADO
FOG,DENSE FOG
ICE/SNOW,HEAVY SNOW
TSTM WIND 51,THUNDERSTORM WIND
TSTM WIND 50,THUNDERSTORM WIND
TSTM WIND 52,THUNDERSTORM WIND
TSTM WIND 55,THUNDERSTORM WIND
THUNDERSTORM DAMAGE,THUNDERSTORM WIND
THUNDERTORM WINDS,THUNDERSTORM WIND
SNOW AND ICE,WINTER WEATHER
WIND STORM,STRONG WIND
SNOWSTORM,WINTER STORM
GRASS FIRES,WILDFIRE
LAKE FLOOD,LAKESHORE FLOOD
PROLONG COLD,COLD/WIND CHILL
THUNDERSTORMW 50,THUNDERSTORM WIND
WIND/HAIL,HAIL
SNOW AND ICE STORM,ICE STORM
THUNDERSTORMS WIND,THUNDERSTORM WIND
THUNDERSTORM  WINDS,THUNDERSTORM WIND
AGRICULTURAL FREEZE,FROST/FREEZE
TUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERTSORM WIND,THUNDERSTORM WIND
THUNDESTORM WINDS,THUNDERSTORM WIND
WARM DRY CONDITIONS,EXCESSIVE HEAT
HURRICANE-GENERATED SWELLS,HURRICANE (TYPHOON)
RIVER AND STREAM FLOOD,FLOOD
COASTAL SURGE,HIGH SURF
RAIN,HEAVY RAIN
SNOW/RAIN,WINTER WEATHER
ICE FLOES,ERROR
HIGH WAVES,HIGH SURF
SNOW SQUALLS,HEAVY SNOW
SNOW SQUALL,HEAVY SNOW
HEAVY LAKE SNOW,LAKE-EFFECT SNOW
LAKE EFFECT SNOW,LAKE-EFFECT SNOW
HEAVY WET SNOW,WINTER WEATHER
THUNDERSTROM WINDS,THUNDERSTORM WIND
LOW WIND CHILL,COLD/WIND CHILL
BLOWING SNOW & EXTREME WIND CH,WINTER STORM
URBAN/SMALL STREAM,FLOOD
TORNDAO,TORNADO
MUD SLIDES URBAN FLOOD,FLOOD
DEEP HAIL,HAIL
GLAZE/ICE STORM,WINTER STORM
AVALANCE,AVALANCHE
ICE JAM,ERROR
FOREST FIRES,WILDFIRE
FROST\FREEZE,FROST/FREEZE
HVY RAIN,HEAVY RAIN
HARD FREEZE,FROST/FREEZE
WET SNOW,WINTER WEATHER
LOCAL FLASH FLOOD,FLASH FLOOD
RAIN AND WIND,STRONG WIND
COASTAL/TIDAL FLOOD,COASTAL FLOOD
SNOW/ICE STORM,WINTER STORM
BELOW NORMAL PRECIPITATION,DROUGHT
EXCESSIVE RAIN,HEAVY RAIN
RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
LIGHT SNOW,WINTER WEATHER
RECORD TEMPERATURES,ERROR
FOG AND COLD TEMPERATURES,DENSE FOG
OTHER,ERROR
RECORD SNOW,HEAVY SNOW
SNOW/COLD,WINTER WEATHER
TSTM WIND G58,THUNDERSTORM WIND
MUDSLIDE,FLOOD
ICY ROADS,SLEET
HEAVY MIX,SLEET
SNOW FREEZING RAIN,SLEET
LACK OF SNOW,ERROR
SNOW/FREEZING RAIN,WINTER STORM
SNOW DROUGHT,ERROR
THUNDERSTORMW WINDS,THUNDERSTORM WIND
TORRENTIAL RAIN,HEAVY RAIN
HURRICANE EMILY,HURRICANE (TYPHOON)
HURRICANE GORDON,HURRICANE (TYPHOON)
HURRICANE FELIX,HURRICANE (TYPHOON)
THUNDERSTORM DAMAGE TO,THUNDERSTORM WIND
DAM FAILURE,ERROR
THUNDERSTORM HAIL,HAIL
THUDERSTORM WINDS,THUNDERSTORM WIND
ICE AND SNOW,HEAVY SNOW
RECORD COLD/FROST,FROST/FREEZE
STORM FORCE WINDS,STRONG WIND
FREEZING RAIN AND SNOW,FROST/FREEZE
FREEZING RAIN SLEET,SLEET
SOUTHEAST,ERROR
FREEZING DRIZZLE AND FREEZING,SLEET
HEAVY PRECIPITATION,HEAVY RAIN
TSTM WIND DAMAGE,THUNDERSTORM WIND
HIGH WATER,FLOOD
RAIN/WIND,HEAVY RAIN
SNOW SHOWERS,WINTER WEATHER
RECORD SNOW/COLD,WINTER WEATHER
WET WEATHER,ERROR
UNSEASONABLY WARM AND DRY,DROUGHT
RECORD/EXCESSIVE RAINFALL,HEAVY RAIN
TIDAL FLOOD,FLOOD
BEACH EROSIN,COASTAL FLOOD
LOW TEMPERATURE,FROST/FREEZE
THUNDERESTORM WINDS,THUNDERSTORM WIND
THUNDEERSTORM WINDS,THUNDERSTORM WIND
HIGHWAY FLOOD,FLOOD
THUNDERSTORM W INDS,THUNDERSTORM WIND
HYPOTHERMIA,FROST/FREEZE
THUNERSTORM WINDS,THUNDERSTORM WIND
MUD/ROCK SLIDE,FLOOD
BEACH EROSION/COASTAL FLOOD,COASTAL FLOOD
COLD/WINDS,WINTER WEATHER
SNOW/ BITTER COLD,WINTER WEATHER
SNOW SLEET,SLEET
DRY HOT WEATHER,EXCESSIVE HEAT
COLD WEATHER,WINTER WEATHER
RAPIDLY RISING WATER,FLASH FLOOD
EARLY FREEZE,WINTER WEATHER
ICE/STRONG WIND,WINTER WEATHER
EXTREME WIND CHILL/BLOWING SNO,WINTER STORM
SNOW/HIGH WIND,WINTER STORM
EARLY FROST,WINTER WEATHER
SNOWMELT FLOOD,FLOOD
SNOW ACCUMULATION,HEAVY SNOW
BLOWING SNOW/EXTREME WIND CHIL,WINTER STORM
SNOW/ ICE,WINTER WEATHER
SNOW/BLOWING SNOW,WINTER STORM
FLASH FLOOODING,FLASH FLOOD
EXCESSIVE RAINFALL,HEAVY RAIN
THUNDERSTORMW,THUNDERSTORM WIND
TSTM WINDS,THUNDERSTORM WIND
BEACH FLOOD,COASTAL FLOOD
TSTMW,THUNDERSTORM WIND
FUNNELS,FUNNEL CLOUD
TSTM WIND 65),THUNDERSTORM WIND
NEAR RECORD SNOW,HEAVY SNOW
LANDSLIDE,FLOOD
THUNDERSTORMWINDS,THUNDERSTORM WIND
EXCESSIVE,ERROR
WILD/FOREST FIRES,WILDFIRE
HEAVY SEAS,COASTAL FLOOD
DUSTSTORM,DUST STORM
?,ERROR
